"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Clientes","3","0","Filtros","0"
"0","","0","Autenticación","4","0","Cuerpo inválido","0"
"0","","0","Clientes","7","0","Paginación","0"
"0","","0","Saldos","4","0","Regla de negocio","0"
"0","","0","Autenticación","2","0","Acceso protegido","0"
"0","","0","Clientes","5","0","Creación","0"
"0","","0","Autenticación","3","0","Credenciales inválidas","0"
"0","","0","Saldos","2","0","Consulta","0"
"0","","0","Contratos (JSON Schema)","4","0","","0"
"0","","0","Clientes","2","0","Detalle","0"
"0","","0","Servicio","1","0","Health check","0"
"0","","0","Clientes","1","0","Listado","0"
"0","","0","Autenticación","1","0","Token válido","0"
