"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Obtener saldos de un cliente inexistente devuelve 404","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","1","Credenciales correctas devuelven un token Bearer","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","2","La respuesta del listado de clientes cumple el contrato","tests","2026-06-02","passed","2026-06-02","TestContracts","test_contracts","",""
"","1","Crear un cliente con cuerpo inválido devuelve 422","tests","2026-06-02","passed","2026-06-02","TestCreateCustomer","test_customers","",""
"","1","Parámetros de paginación fuera de rango devuelven 422","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","2","Acceder a un recurso protegido sin token devuelve 401","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","Obtener un cliente inexistente devuelve 404","tests","2026-06-02","passed","2026-06-02","TestGetCustomer","test_customers","",""
"","2","La respuesta de saldos cumple el contrato","tests","2026-06-02","passed","2026-06-02","TestContracts","test_contracts","",""
"","2","GET /health responde 200 y estado ok","tests","2026-06-02","passed","2026-06-02","","test_health","",""
"","1","El filtro por segmento solo devuelve ese segmento","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Credenciales incorrectas devuelven 401","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","2","La respuesta de /auth/token cumple el contrato","tests","2026-06-02","passed","2026-06-02","TestContracts","test_contracts","",""
"","2","Obtener un cliente existente devuelve sus datos","tests","2026-06-02","passed","2026-06-02","TestGetCustomer","test_customers","",""
"","1","Cuerpo mal formado en /auth/token devuelve 422","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","El filtro por segmento solo devuelve ese segmento","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","2","La distribución porcentual de los saldos suma 100%","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","1","Cuerpo mal formado en /auth/token devuelve 422","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","Acceder con un token inválido devuelve 401","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","La distribución porcentual de los saldos suma 100%","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","1","Crear un cliente con cuerpo inválido devuelve 422","tests","2026-06-02","passed","2026-06-02","TestCreateCustomer","test_customers","",""
"","2","La paginación respeta limit y offset","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","La paginación respeta limit y offset","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Cuerpo mal formado en /auth/token devuelve 422","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","El listado por defecto devuelve la primera página","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Credenciales incorrectas devuelven 401","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","La distribución porcentual de los saldos suma 100%","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","2","La paginación respeta limit y offset","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Crear un cliente con cuerpo inválido devuelve 422","tests","2026-06-02","passed","2026-06-02","TestCreateCustomer","test_customers","",""
"","1","La distribución porcentual de los saldos suma 100%","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","2","El filtro por segmento solo devuelve ese segmento","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Parámetros de paginación fuera de rango devuelven 422","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","Parámetros de paginación fuera de rango devuelven 422","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","1","La respuesta de detalle de cliente cumple el contrato","tests","2026-06-02","passed","2026-06-02","TestContracts","test_contracts","",""
"","2","Credenciales incorrectas devuelven 401","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
"","1","Crear un cliente válido devuelve 201 con el recurso creado","tests","2026-06-02","passed","2026-06-02","TestCreateCustomer","test_customers","",""
"","1","La paginación respeta limit y offset","tests","2026-06-02","passed","2026-06-02","TestListCustomers","test_customers","",""
"","2","Obtener los saldos de un cliente existente","tests","2026-06-02","passed","2026-06-02","TestBalances","test_balances","",""
"","1","Crear un cliente con cuerpo inválido devuelve 422","tests","2026-06-02","passed","2026-06-02","TestCreateCustomer","test_customers","",""
"","1","Cuerpo mal formado en /auth/token devuelve 422","tests","2026-06-02","passed","2026-06-02","TestAuthentication","test_auth","",""
